order_id,date,product,category,region,state,quantity,unit_price,discount_pct,total_value,freight,payment_method,customer_id,status
PED-20240100016,2024-01-02,Console,Games,Sul,PR,2,3016.53,0.0,6033.06,0.0,Cartão de Débito,CLI-01264,Entregue
PED-20240100017,2024-01-02,TV,Eletrodomésticos,Nordeste,SE,2,3423.93,0.0,6847.87,0.0,Cartão de Débito,CLI-01475,Entregue
PED-20240100018,2024-01-03,Câmera,Eletrônicos,Norte,RR,5,3290.05,0.1,14805.24,0.0,Cartão de Crédito,CLI-01067,Entregue
PED-20240100019,2024-01-03,Notebook,Informática,Norte,AC,1,5010.0,0.0,5010.0,0.0,Cartão de Débito,CLI-00081,Entregue
PED-20240100020,2024-01-03,Geladeira,Eletrodomésticos,Norte,RR,1,3809.21,0.05,3618.75,0.0,PIX,CLI-00586,Entregue
PED-20240100021,2024-01-03,TV,Eletrodomésticos,Sul,SC,3,3618.79,0.0,10856.37,0.0,Boleto,CLI-00950,Entregue
PED-20240100022,2024-01-03,TV,Eletrodomésticos,Sudeste,SP,2,3792.67,0.15,6447.54,0.0,Cartão de Débito,CLI-00847,Entregue
PED-20240100023,2024-01-03,Câmera,Eletrônicos,Norte,AM,2,3155.53,0.15,5364.41,0.0,Cartão de Débito,CLI-00185,Em trânsito
PED-20240100024,2024-01-03,Smartwatch,Acessórios,Nordeste,CE,1,1052.83,0.15,894.9,0.0,PIX,CLI-00175,Entregue
PED-20240100025,2024-01-03,Geladeira,Eletrodomésticos,Norte,AP,5,4341.21,0.0,21706.06,0.0,Cartão de Débito,CLI-00090,Entregue
PED-20240100026,2024-01-04,Tablet,Eletrônicos,Nordeste,CE,2,1999.16,0.0,3998.32,0.0,Cartão de Crédito,CLI-00860,Em trânsito
PED-20240100027,2024-01-04,Smartwatch,Acessórios,Nordeste,SE,3,1245.52,0.0,3736.57,0.0,Boleto,CLI-00008,Em trânsito
PED-20240100028,2024-01-04,Micro-ondas,Eletrodomésticos,Nordeste,BA,4,799.43,0.05,3037.84,0.0,Cartão de Crédito,CLI-01246,Entregue
PED-20240100029,2024-01-04,TV,Eletrodomésticos,Sul,RS,5,3667.44,0.05,17420.36,0.0,Cartão de Crédito,CLI-01232,Entregue
PED-20240100030,2024-01-04,Micro-ondas,Eletrodomésticos,Sudeste,RJ,5,746.75,0.15,3173.68,0.0,Boleto,CLI-00101,Entregue
PED-20240100031,2024-01-05,Tablet,Eletrônicos,Sul,RS,3,1549.83,0.0,4649.49,0.0,Transferência,CLI-00612,Entregue
PED-20240100032,2024-01-05,Câmera,Eletrônicos,Sudeste,SP,1,3120.28,0.0,3120.28,0.0,PIX,CLI-01252,Entregue
PED-20240100033,2024-01-05,Micro-ondas,Eletrodomésticos,Centro-Oeste,GO,4,859.84,0.0,3439.36,0.0,Cartão de Crédito,CLI-00613,Cancelado
PED-20240100034,2024-01-05,Câmera,Eletrônicos,Nordeste,AL,1,3448.1,0.1,3103.29,0.0,Cartão de Débito,CLI-00276,Entregue
PED-20240100035,2024-01-05,Notebook,Informática,Nordeste,RN,5,4383.57,0.0,21917.87,0.0,Transferência,CLI-00120,Entregue
PED-20240100036,2024-01-05,Notebook,Informática,Centro-Oeste,DF,4,4802.5,0.1,17289.0,0.0,PIX,CLI-00875,Cancelado
PED-20240100037,2024-01-05,Micro-ondas,Eletrodomésticos,Nordeste,PB,5,818.03,0.1,3681.15,0.0,Boleto,CLI-01259,Entregue
PED-20240100038,2024-01-06,Micro-ondas,Eletrodomésticos,Norte,RR,4,798.2,0.0,3192.8,0.0,Boleto,CLI-01452,Em trânsito
PED-20240100039,2024-01-06,Smartwatch,Acessórios,Sul,RS,1,1028.64,0.15,874.34,0.0,Boleto,CLI-01261,Em trânsito
PED-20240100040,2024-01-06,Console,Games,Norte,AM,3,2673.71,0.15,6817.95,0.0,Boleto,CLI-01414,Entregue
PED-20240100041,2024-01-06,Smartwatch,Acessórios,Nordeste,PE,3,1128.1,0.1,3045.88,0.0,Cartão de Crédito,CLI-00234,Entregue
PED-20240100042,2024-01-06,Câmera,Eletrônicos,Nordeste,AL,5,3311.35,0.0,16556.77,0.0,Boleto,CLI-00677,Em trânsito
PED-20240100043,2024-01-06,Câmera,Eletrônicos,Norte,AC,1,3339.83,0.05,3172.83,0.0,Cartão de Débito,CLI-01100,Entregue
PED-20240100044,2024-01-06,Câmera,Eletrônicos,Norte,TO,4,3610.68,0.0,14442.71,0.0,PIX,CLI-01158,Em trânsito
PED-20240100045,2024-01-06,Câmera,Eletrônicos,Centro-Oeste,DF,2,3274.3,0.0,6548.6,0.0,PIX,CLI-00136,Em trânsito
PED-20240100046,2024-01-07,Tablet,Eletrônicos,Nordeste,BA,3,2061.15,0.15,5255.94,0.0,Boleto,CLI-01170,Entregue
PED-20240100047,2024-01-07,Micro-ondas,Eletrodomésticos,Norte,PA,5,708.04,0.0,3540.21,0.0,PIX,CLI-01454,Entregue
PED-20240100048,2024-01-07,Smartphone,Eletrônicos,Nordeste,AL,1,2497.79,0.0,2497.79,0.0,PIX,CLI-00443,Entregue
PED-20240100049,2024-01-07,Geladeira,Eletrodomésticos,Nordeste,CE,1,4041.51,0.0,4041.51,0.0,Cartão de Crédito,CLI-00909,Em trânsito
PED-20240100050,2024-01-07,Geladeira,Eletrodomésticos,Sudeste,ES,5,3764.14,0.0,18820.69,0.0,Transferência,CLI-00636,Cancelado
PED-20240100051,2024-01-07,Câmera,Eletrônicos,Sul,RS,5,3369.65,0.0,16848.24,0.0,Cartão de Crédito,CLI-00941,Entregue
PED-20240100052,2024-01-07,Console,Games,Centro-Oeste,DF,1,2641.22,0.0,2641.22,0.0,Transferência,CLI-00179,Entregue
PED-20240100053,2024-01-07,Câmera,Eletrônicos,Norte,AM,1,3219.75,0.15,2736.79,0.0,Cartão de Crédito,CLI-01183,Entregue
PED-20240100054,2024-01-07,Smartwatch,Acessórios,Sul,SC,2,1089.32,0.0,2178.63,0.0,Cartão de Débito,CLI-01375,Entregue
PED-20240100055,2024-01-07,Notebook,Informática,Nordeste,CE,2,4194.41,0.0,8388.82,0.0,Transferência,CLI-01053,Processando
PED-20240100056,2024-01-07,Notebook,Informática,Sul,PR,3,4566.64,0.0,13699.93,0.0,PIX,CLI-01176,Entregue
PED-20240100057,2024-01-07,Fone de Ouvido,Acessórios,Sul,RS,3,361.89,0.0,1085.68,0.0,Cartão de Crédito,CLI-00267,Entregue
PED-20240100058,2024-01-08,Smartphone,Eletrônicos,Norte,AP,1,2204.45,0.0,2204.45,0.0,Cartão de Débito,CLI-00367,Entregue
PED-20240100059,2024-01-08,Micro-ondas,Eletrodomésticos,Centro-Oeste,MS,5,765.35,0.0,3826.75,0.0,Transferência,CLI-00161,Em trânsito
PED-20240100060,2024-01-08,TV,Eletrodomésticos,Centro-Oeste,GO,1,3828.49,0.15,3254.22,0.0,Cartão de Débito,CLI-00636,Entregue
PED-20240100061,2024-01-08,TV,Eletrodomésticos,Norte,PA,2,3125.91,0.1,5626.63,0.0,PIX,CLI-00803,Entregue
PED-20240100062,2024-01-08,Tablet,Eletrônicos,Nordeste,RN,4,1793.25,0.0,7173.01,0.0,PIX,CLI-00981,Entregue
PED-20240100063,2024-01-08,TV,Eletrodomésticos,Sul,SC,3,3609.66,0.0,10828.99,0.0,Cartão de Débito,CLI-01463,Entregue
PED-20240100064,2024-01-08,Notebook,Informática,Nordeste,PI,1,4894.78,0.1,4405.3,0.0,Transferência,CLI-00847,Entregue
PED-20240100065,2024-01-08,Fone de Ouvido,Acessórios,Centro-Oeste,GO,5,314.2,0.05,1492.44,0.0,PIX,CLI-00427,Entregue
PED-20240100066,2024-01-09,Micro-ondas,Eletrodomésticos,Norte,TO,4,816.13,0.0,3264.52,0.0,Boleto,CLI-00355,Entregue
PED-20240100067,2024-01-09,Notebook,Informática,Centro-Oeste,MS,1,4624.42,0.05,4393.2,0.0,Cartão de Crédito,CLI-00912,Entregue
PED-20240100068,2024-01-09,Tablet,Eletrônicos,Nordeste,AL,1,1853.06,0.15,1575.1,0.0,Cartão de Débito,CLI-00671,Em trânsito
PED-20240100069,2024-01-09,TV,Eletrodomésticos,Sudeste,SP,2,3832.89,0.1,6899.19,0.0,Cartão de Crédito,CLI-00301,Cancelado
PED-20240100070,2024-01-09,Tablet,Eletrônicos,Norte,RR,3,1740.59,0.1,4699.59,0.0,Boleto,CLI-01396,Entregue
PED-20240100071,2024-01-09,Câmera,Eletrônicos,Nordeste,PB,4,3409.08,0.0,13636.32,0.0,Transferência,CLI-00017,Processando
PED-20240100072,2024-01-09,Micro-ondas,Eletrodomésticos,Centro-Oeste,MS,2,884.6,0.0,1769.2,0.0,Transferência,CLI-00109,Entregue
PED-20240100073,2024-01-09,Smartphone,Eletrônicos,Centro-Oeste,MT,1,2770.94,0.0,2770.94,0.0,Transferência,CLI-00808,Entregue
PED-20240100074,2024-01-09,Câmera,Eletrônicos,Norte,AC,4,3137.78,0.0,12551.13,0.0,Cartão de Débito,CLI-00285,Entregue
PED-20240100075,2024-01-09,Fone de Ouvido,Acessórios,Centro-Oeste,MS,3,385.7,0.0,1157.09,0.0,Boleto,CLI-00276,Entregue
PED-20240100076,2024-01-09,Smartphone,Eletrônicos,Sudeste,SP,2,2666.0,0.05,5065.41,0.0,Boleto,CLI-00174,Entregue
PED-20240100077,2024-01-10,Tablet,Eletrônicos,Norte,TO,4,2012.53,0.15,6842.62,0.0,Cartão de Débito,CLI-01277,Entregue
PED-20240100078,2024-01-10,Tablet,Eletrônicos,Norte,RR,4,1828.11,0.05,6946.81,0.0,Boleto,CLI-00381,Entregue
PED-20240100079,2024-01-10,Console,Games,Centro-Oeste,DF,5,2798.45,0.15,11893.42,0.0,Transferência,CLI-00552,Entregue
PED-20240100080,2024-01-10,Console,Games,Centro-Oeste,MT,1,3201.72,0.1,2881.54,0.0,PIX,CLI-00232,Entregue
PED-20240100081,2024-01-10,Micro-ondas,Eletrodomésticos,Norte,AP,1,714.1,0.15,606.99,0.0,PIX,CLI-00953,Entregue
PED-20240100082,2024-01-10,Geladeira,Eletrodomésticos,Sudeste,SP,2,4165.29,0.15,7080.99,0.0,Cartão de Crédito,CLI-01401,Entregue
PED-20240100083,2024-01-10,Geladeira,Eletrodomésticos,Centro-Oeste,MT,5,3636.5,0.0,18182.48,0.0,Cartão de Crédito,CLI-00961,Entregue
PED-20240100084,2024-01-10,TV,Eletrodomésticos,Centro-Oeste,MS,5,3745.51,0.05,17791.15,0.0,PIX,CLI-00593,Entregue
PED-20240100085,2024-01-10,Tablet,Eletrônicos,Sudeste,MG,5,1670.64,0.15,7100.22,0.0,Boleto,CLI-01174,Entregue
PED-20240100086,2024-01-10,Smartphone,Eletrônicos,Nordeste,BA,3,2488.57,0.0,7465.71,0.0,PIX,CLI-00517,Entregue
PED-20240100087,2024-01-10,Tablet,Eletrônicos,Centro-Oeste,MT,3,1993.24,0.0,5979.73,0.0,Transferência,CLI-00358,Entregue
PED-20240100088,2024-01-10,Micro-ondas,Eletrodomésticos,Sul,PR,4,768.74,0.0,3074.98,0.0,Boleto,CLI-00994,Entregue
PED-20240100089,2024-01-10,Tablet,Eletrônicos,Centro-Oeste,DF,3,2061.4,0.0,6184.2,0.0,Boleto,CLI-01016,Entregue
PED-20240100090,2024-01-10,Console,Games,Norte,PA,4,2989.84,0.0,11959.36,0.0,PIX,CLI-00112,Entregue
PED-20240100091,2024-01-10,Smartwatch,Acessórios,Sudeste,SP,2,1187.05,0.05,2255.39,0.0,Transferência,CLI-00479,Entregue
PED-20240100092,2024-01-10,Console,Games,Norte,AC,3,2501.93,0.05,7130.49,0.0,Cartão de Débito,CLI-00783,Entregue
PED-20240100093,2024-01-10,Câmera,Eletrônicos,Centro-Oeste,DF,1,3601.0,0.15,3060.85,0.0,Cartão de Débito,CLI-01251,Entregue
PED-20240100094,2024-01-11,Smartwatch,Acessórios,Nordeste,PB,3,1308.83,0.0,3926.5,0.0,Cartão de Débito,CLI-00945,Entregue
PED-20240100095,2024-01-11,Fone de Ouvido,Acessórios,Centro-Oeste,GO,5,332.93,0.15,1414.94,0.0,PIX,CLI-01122,Processando
PED-20240100096,2024-01-11,Smartphone,Eletrônicos,Sudeste,SP,1,2433.44,0.1,2190.09,0.0,Cartão de Débito,CLI-00720,Entregue
PED-20240100097,2024-01-11,Fone de Ouvido,Acessórios,Nordeste,PB,2,301.07,0.1,541.93,0.0,Transferência,CLI-01345,Entregue
PED-20240100098,2024-01-11,Fone de Ouvido,Acessórios,Centro-Oeste,DF,1,306.57,0.1,275.91,23.44,Transferência,CLI-00379,Entregue
PED-20240100099,2024-01-12,Notebook,Informática,Sul,SC,3,4455.39,0.0,13366.17,0.0,PIX,CLI-00875,Entregue
PED-20240100100,2024-01-12,Câmera,Eletrônicos,Nordeste,CE,1,2986.2,0.0,2986.2,0.0,PIX,CLI-00124,Entregue
PED-20240100101,2024-01-12,Smartwatch,Acessórios,Nordeste,CE,4,1044.98,0.0,4179.93,0.0,Boleto,CLI-01322,Entregue
PED-20240100102,2024-01-12,TV,Eletrodomésticos,Sudeste,RJ,5,3782.14,0.0,18910.71,0.0,Cartão de Crédito,CLI-00905,Entregue
PED-20240100103,2024-01-12,Smartwatch,Acessórios,Sudeste,SP,1,1045.35,0.15,888.55,0.0,Cartão de Débito,CLI-00039,Entregue
PED-20240100104,2024-01-12,TV,Eletrodomésticos,Sul,PR,1,3954.54,0.15,3361.36,0.0,Boleto,CLI-01434,Entregue
PED-20240100105,2024-01-12,Câmera,Eletrônicos,Norte,RR,1,3214.77,0.05,3054.03,0.0,Cartão de Débito,CLI-01491,Entregue
PED-20240100106,2024-01-13,Notebook,Informática,Centro-Oeste,GO,1,4343.97,0.15,3692.38,0.0,Cartão de Débito,CLI-00249,Em trânsito
PED-20240100107,2024-01-13,Micro-ondas,Eletrodomésticos,Centro-Oeste,MT,3,843.64,0.05,2404.38,0.0,Cartão de Crédito,CLI-00749,Entregue
PED-20240100108,2024-01-13,Geladeira,Eletrodomésticos,Nordeste,PE,4,4528.17,0.0,18112.68,0.0,Boleto,CLI-01136,Entregue
PED-20240100109,2024-01-13,Smartphone,Eletrônicos,Norte,AP,2,2349.15,0.05,4463.39,0.0,PIX,CLI-00997,Em trânsito
PED-20240100110,2024-01-13,Notebook,Informática,Norte,AP,2,4013.92,0.0,8027.85,0.0,Transferência,CLI-00489,Entregue
PED-20240100111,2024-01-13,TV,Eletrodomésticos,Norte,AM,5,3650.58,0.05,17340.25,0.0,Cartão de Débito,CLI-00034,Entregue
PED-20240100112,2024-01-13,Smartphone,Eletrônicos,Nordeste,BA,3,2715.83,0.0,8147.5,0.0,Boleto,CLI-01340,Entregue
PED-20240100113,2024-01-13,Geladeira,Eletrodomésticos,Norte,AP,5,3757.68,0.1,16909.57,0.0,Cartão de Crédito,CLI-00076,Entregue
PED-20240100114,2024-01-13,Tablet,Eletrônicos,Norte,AP,1,1784.46,0.1,1606.01,0.0,Boleto,CLI-00030,Entregue
PED-20240100115,2024-01-13,Tablet,Eletrônicos,Sudeste,MG,1,1776.34,0.0,1776.34,0.0,Cartão de Crédito,CLI-00218,Em trânsito
PED-20240100116,2024-01-13,Notebook,Informática,Norte,RR,5,4122.77,0.0,20613.86,0.0,Cartão de Débito,CLI-00665,Entregue
PED-20240100117,2024-01-13,Notebook,Informática,Centro-Oeste,GO,3,4954.18,0.0,14862.53,0.0,Transferência,CLI-00356,Em trânsito
PED-20240100118,2024-01-14,Câmera,Eletrônicos,Sudeste,SP,3,2855.59,0.05,8138.42,0.0,PIX,CLI-01134,Entregue
PED-20240100119,2024-01-14,Tablet,Eletrônicos,Norte,PA,5,1551.98,0.0,7759.89,0.0,Transferência,CLI-00771,Em trânsito
PED-20240100120,2024-01-14,Tablet,Eletrônicos,Sudeste,ES,1,1533.43,0.0,1533.43,0.0,Transferência,CLI-00582,Cancelado
PED-20240100121,2024-01-14,Console,Games,Norte,AP,2,2553.17,0.15,4340.4,0.0,Cartão de Débito,CLI-00844,Entregue
PED-20240100122,2024-01-15,Fone de Ouvido,Acessórios,Sul,PR,1,360.11,0.15,306.09,47.49,PIX,CLI-00713,Processando
PED-20240100123,2024-01-15,Console,Games,Sudeste,RJ,2,2478.71,0.1,4461.67,0.0,Transferência,CLI-00742,Processando
PED-20240100124,2024-01-15,Geladeira,Eletrodomésticos,Centro-Oeste,GO,4,4540.62,0.15,15438.1,0.0,Cartão de Crédito,CLI-00397,Entregue
PED-20240100125,2024-01-15,Notebook,Informática,Sul,PR,4,4496.65,0.0,17986.58,0.0,Cartão de Crédito,CLI-00111,Entregue
PED-20240100126,2024-01-15,Câmera,Eletrônicos,Nordeste,MA,4,2961.33,0.1,10660.78,0.0,Cartão de Débito,CLI-00089,Em trânsito
PED-20240100127,2024-01-15,Notebook,Informática,Sudeste,RJ,2,4885.41,0.05,9282.29,0.0,Cartão de Crédito,CLI-00482,Entregue
PED-20240100128,2024-01-15,TV,Eletrodomésticos,Centro-Oeste,MT,4,3183.69,0.15,10824.54,0.0,Boleto,CLI-00226,Em trânsito
PED-20240100129,2024-01-16,Câmera,Eletrônicos,Sul,RS,2,3428.24,0.0,6856.48,0.0,Boleto,CLI-00151,Entregue
PED-20240100130,2024-01-16,TV,Eletrodomésticos,Centro-Oeste,MS,1,3910.01,0.0,3910.01,0.0,Transferência,CLI-00932,Entregue
PED-20240100131,2024-01-16,Tablet,Eletrônicos,Norte,RO,2,1777.18,0.0,3554.36,0.0,PIX,CLI-00415,Entregue
PED-20240100132,2024-01-16,Câmera,Eletrônicos,Sul,RS,5,2777.27,0.0,13886.33,0.0,Cartão de Débito,CLI-00940,Entregue
PED-20240100133,2024-01-16,Console,Games,Sul,SC,2,3124.58,0.1,5624.25,0.0,Transferência,CLI-00349,Entregue
PED-20240100134,2024-01-16,Micro-ondas,Eletrodomésticos,Centro-Oeste,GO,1,778.81,0.1,700.93,0.0,Boleto,CLI-01212,Entregue
PED-20240100135,2024-01-16,TV,Eletrodomésticos,Norte,RO,1,3741.52,0.15,3180.29,0.0,Boleto,CLI-00671,Em trânsito
PED-20240100136,2024-01-17,Console,Games,Centro-Oeste,GO,5,3174.85,0.1,14286.83,0.0,Cartão de Débito,CLI-00091,Em trânsito
PED-20240100137,2024-01-17,Smartphone,Eletrônicos,Norte,AP,5,2150.22,0.1,9675.97,0.0,Cartão de Crédito,CLI-00927,Entregue
PED-20240100138,2024-01-17,TV,Eletrodomésticos,Sul,RS,5,3765.73,0.15,16004.36,0.0,Boleto,CLI-00272,Entregue
PED-20240100139,2024-01-17,Câmera,Eletrônicos,Nordeste,MA,1,2735.29,0.15,2325.0,0.0,Cartão de Débito,CLI-01169,Entregue
PED-20240100140,2024-01-17,Micro-ondas,Eletrodomésticos,Sudeste,ES,4,865.24,0.15,2941.82,0.0,PIX,CLI-01284,Entregue
PED-20240100141,2024-01-17,TV,Eletrodomésticos,Sudeste,SP,4,3913.11,0.0,15652.42,0.0,PIX,CLI-00873,Entregue
PED-20240100142,2024-01-17,Smartwatch,Acessórios,Centro-Oeste,GO,1,1243.36,0.0,1243.36,0.0,Cartão de Crédito,CLI-01055,Entregue
PED-20240100143,2024-01-17,Câmera,Eletrônicos,Sudeste,SP,4,3070.97,0.1,11055.48,0.0,PIX,CLI-00359,Entregue
PED-20240100144,2024-01-17,Geladeira,Eletrodomésticos,Sudeste,RJ,2,4806.38,0.0,9612.75,0.0,Cartão de Débito,CLI-01189,Entregue
PED-20240100145,2024-01-17,Fone de Ouvido,Acessórios,Sul,SC,3,391.78,0.1,1057.81,0.0,PIX,CLI-00112,Entregue
PED-20240100146,2024-01-18,Notebook,Informática,Nordeste,RN,4,4481.41,0.1,16133.06,0.0,Cartão de Débito,CLI-01454,Em trânsito
PED-20240100147,2024-01-18,Geladeira,Eletrodomésticos,Centro-Oeste,MT,4,4352.4,0.15,14798.16,0.0,Cartão de Crédito,CLI-00386,Cancelado
PED-20240100148,2024-01-18,TV,Eletrodomésticos,Sudeste,SP,4,3917.84,0.0,15671.37,0.0,Cartão de Crédito,CLI-00224,Processando
PED-20240100149,2024-01-18,Tablet,Eletrônicos,Nordeste,PE,2,1798.02,0.0,3596.04,0.0,Cartão de Crédito,CLI-00601,Entregue
PED-20240100150,2024-01-18,Console,Games,Centro-Oeste,GO,4,2671.23,0.05,10150.67,0.0,Cartão de Crédito,CLI-00598,Entregue
PED-20240100151,2024-01-18,Fone de Ouvido,Acessórios,Sudeste,SP,2,385.17,0.1,693.31,0.0,Cartão de Débito,CLI-01186,Entregue
PED-20240100152,2024-01-19,Câmera,Eletrônicos,Nordeste,SE,5,3359.22,0.1,15116.5,0.0,Cartão de Débito,CLI-00938,Em trânsito
PED-20240100153,2024-01-19,Smartwatch,Acessórios,Centro-Oeste,GO,3,1081.83,0.0,3245.48,0.0,PIX,CLI-00591,Entregue
PED-20240100154,2024-01-19,Smartphone,Eletrônicos,Sul,SC,3,2466.94,0.0,7400.83,0.0,Boleto,CLI-01458,Entregue
PED-20240100155,2024-01-19,Geladeira,Eletrodomésticos,Nordeste,CE,2,4627.56,0.15,7866.85,0.0,Boleto,CLI-00331,Cancelado
PED-20240100156,2024-01-20,Fone de Ouvido,Acessórios,Sudeste,SP,3,357.83,0.05,1019.8,0.0,Boleto,CLI-00421,Entregue
PED-20240100157,2024-01-20,Geladeira,Eletrodomésticos,Sudeste,MG,3,3756.41,0.05,10705.77,0.0,Boleto,CLI-01093,Entregue
PED-20240100158,2024-01-20,Smartwatch,Acessórios,Sudeste,SP,4,1355.18,0.0,5420.74,0.0,PIX,CLI-00320,Cancelado
PED-20240100159,2024-01-20,Smartphone,Eletrônicos,Centro-Oeste,MT,3,2480.43,0.0,7441.3,0.0,Transferência,CLI-01366,Processando
PED-20240100160,2024-01-20,Tablet,Eletrônicos,Centro-Oeste,MS,3,1902.14,0.15,4850.46,0.0,Cartão de Crédito,CLI-00286,Entregue
PED-20240100161,2024-01-20,Geladeira,Eletrodomésticos,Sudeste,MG,1,4076.05,0.0,4076.05,0.0,Cartão de Crédito,CLI-00669,Entregue
PED-20240100162,2024-01-20,Smartphone,Eletrônicos,Centro-Oeste,GO,5,2519.83,0.0,12599.13,0.0,Cartão de Crédito,CLI-01103,Entregue
PED-20240100163,2024-01-20,TV,Eletrodomésticos,Sudeste,ES,2,3489.99,0.1,6281.98,0.0,Cartão de Crédito,CLI-01366,Entregue
PED-20240100164,2024-01-20,Câmera,Eletrônicos,Norte,PA,4,3074.84,0.0,12299.38,0.0,PIX,CLI-00720,Entregue
PED-20240100165,2024-01-20,Smartwatch,Acessórios,Norte,TO,5,1051.54,0.15,4469.03,0.0,Cartão de Débito,CLI-00907,Em trânsito
PED-20240100166,2024-01-20,Smartwatch,Acessórios,Sul,PR,4,1282.3,0.05,4872.73,0.0,Transferência,CLI-01225,Entregue
PED-20240100167,2024-01-21,Notebook,Informática,Sul,RS,3,4465.73,0.1,12057.46,0.0,Cartão de Crédito,CLI-01210,Processando
PED-20240100168,2024-01-21,Console,Games,Sudeste,SP,4,2916.6,0.0,11666.39,0.0,Transferência,CLI-00947,Entregue
PED-20240100169,2024-01-21,Micro-ondas,Eletrodomésticos,Sul,RS,2,879.75,0.0,1759.5,0.0,Cartão de Crédito,CLI-00619,Entregue
PED-20240100170,2024-01-21,Micro-ondas,Eletrodomésticos,Nordeste,SE,5,857.57,0.0,4287.83,0.0,Cartão de Crédito,CLI-00316,Entregue
PED-20240100171,2024-01-21,Smartwatch,Acessórios,Nordeste,SE,1,1255.37,0.0,1255.37,0.0,Cartão de Débito,CLI-01409,Entregue
PED-20240100172,2024-01-21,Fone de Ouvido,Acessórios,Sudeste,SP,3,349.27,0.0,1047.81,0.0,PIX,CLI-01191,Entregue
PED-20240100173,2024-01-21,TV,Eletrodomésticos,Centro-Oeste,MS,3,3634.4,0.05,10358.03,0.0,Cartão de Crédito,CLI-00765,Processando
PED-20240100174,2024-01-21,Geladeira,Eletrodomésticos,Centro-Oeste,DF,3,3775.19,0.0,11325.56,0.0,Cartão de Débito,CLI-01420,Entregue
PED-20240100175,2024-01-21,Tablet,Eletrônicos,Nordeste,CE,1,1677.24,0.05,1593.38,0.0,PIX,CLI-00100,Entregue
PED-20240100176,2024-01-22,Smartwatch,Acessórios,Nordeste,PI,1,1204.99,0.15,1024.24,0.0,Cartão de Crédito,CLI-01227,Entregue
PED-20240100177,2024-01-22,Tablet,Eletrônicos,Centro-Oeste,MT,3,1976.48,0.15,5040.03,0.0,PIX,CLI-01404,Em trânsito
PED-20240100178,2024-01-22,Câmera,Eletrônicos,Sudeste,MG,2,2732.38,0.1,4918.29,0.0,Cartão de Débito,CLI-00844,Entregue
PED-20240100179,2024-01-22,Câmera,Eletrônicos,Sul,RS,2,2868.37,0.0,5736.75,0.0,Transferência,CLI-01257,Em trânsito
PED-20240100180,2024-01-22,Geladeira,Eletrodomésticos,Centro-Oeste,DF,4,4150.22,0.0,16600.88,0.0,Boleto,CLI-00036,Entregue
PED-20240100181,2024-01-23,TV,Eletrodomésticos,Nordeste,PB,3,3120.96,0.05,8894.75,0.0,Transferência,CLI-01072,Em trânsito
PED-20240100182,2024-01-23,Câmera,Eletrônicos,Sul,PR,3,2747.61,0.0,8242.83,0.0,Boleto,CLI-01410,Entregue
PED-20240100183,2024-01-23,Fone de Ouvido,Acessórios,Nordeste,CE,2,311.17,0.0,622.35,0.0,Cartão de Crédito,CLI-00160,Entregue
